web-scraper-order,web-scraper-start-url,catli,catli-href,subcatli,subcatli-href,sub1,sub1-href,sub2,sub2-href,sub3,sub3-href,sub4,sub4-href,sub5,sub5-href,sub6,sub6-href,sub7,sub7-href,sub8,sub8-href
1595345493-1701,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,Ingredienti dei profumi,https://www.notino.it/ingredienti-dei-profumi/,,,,,,,,,,,,,,,,
1595345508-2681,https://www.notino.it,Profumi,https://www.notino.it/profumi/,,,,,,,,,Cura del corpo,https://www.notino.it/cura-del-corpo/,,,,,,,,
1595345493-1808,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,,,,,,,,,,,Viso,https://www.notino.it/prodotti-per-uomo/?f=1-1-23235-23237,,,,
1595345493-1756,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,,,,,Labbra,https://www.notino.it/cura-delle-labbra/,,,,,,,,,,
1595345493-1710,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,Shampoo,https://www.notino.it/shampoo/,,,,,,,,,,,,,,
1595345493-1799,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,,,,,,,,,Palette,https://www.notino.it/palette/,,,,,,
1595345505-2475,https://www.notino.it,Capelli,https://www.notino.it/prodotti-per-capelli/,,,Phon,https://www.notino.it/phon-per-capelli/,,,,,,,,,,,,,,
1595345498-2024,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,Arricciacapelli,https://www.notino.it/arricciacapelli/,,,,,,,,,,,,,,
1595345508-2726,https://www.notino.it,Profumi,https://www.notino.it/profumi/,,,,,,,,,,,,,,,Collezione di nicchia,https://www.notino.it/niche/?f=1-1-53785-100225-6718,,
1595345508-2715,https://www.notino.it,Profumi,https://www.notino.it/profumi/,,,,,,,,,,,,,Rasatura,https://www.notino.it/rasatura-uomo/,,,,
1595345500-2204,https://www.notino.it,Viso,https://www.notino.it/prodotti-per-il-viso/,,,,,,,Maschere viso,https://www.notino.it/maschere-per-il-viso/,,,,,,,,,,
1595345495-1935,https://www.notino.it,Make-up,https://www.notino.it/make-up/,,,,,,,,,Solari,https://www.notino.it/creme-solari/,,,,,,,,
1595345490-1565,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,Styling,https://www.notino.it/styling/,,,,,,,,,,,,,,
1595345498-1993,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,Profumi uomo,https://www.notino.it/profumi-uomo/,,,,,,,,,,,,,,,,
1595345508-2711,https://www.notino.it,Profumi,https://www.notino.it/profumi/,,,,,,,,,,,Prodotti struccanti,https://www.notino.it/prodotti-struccanti/,,,,,,
1595345503-2382,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,,,,,,,,,Bagno,https://www.notino.it/prodotti-per-il-bagno/,,,,,,,,
1595345495-1950,https://www.notino.it,Make-up,https://www.notino.it/make-up/,,,,,,,,,,,Palette,https://www.notino.it/palette/,,,,,,
1595345493-1693,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,Profumi di nicchia,https://www.notino.it/niche/,,,,,,,,,,,,,,,,
1595345498-2111,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,,,,,,,,,,,Balsamo dopobarba,https://www.notino.it/balsamo-dopobarba/,,,,
1595345505-2490,https://www.notino.it,Capelli,https://www.notino.it/prodotti-per-capelli/,,,,,Cura del viso,https://www.notino.it/dermocosmesi/?f=1-1-37171-3645,,,,,,,,,,,,
1595345500-2143,https://www.notino.it,Viso,https://www.notino.it/prodotti-per-il-viso/,Profumi donna,https://www.notino.it/profumi-donna/,,,,,,,,,,,,,,,,
