web-scraper-order,web-scraper-start-url,brands,brands-href
1595276171-179,https://www.notino.it/marche-cosmetici/,Clive Christian,https://www.notino.it/clive-christian/
1595276171-180,https://www.notino.it/marche-cosmetici/,Clochee,https://www.notino.it/clochee/
1595276171-181,https://www.notino.it/marche-cosmetici/,Coach,https://www.notino.it/coach/
1595276171-182,https://www.notino.it/marche-cosmetici/,Coccolino,https://www.notino.it/coccolino/
1595276171-183,https://www.notino.it/marche-cosmetici/,COCOES,https://www.notino.it/cocoes/
1595276171-184,https://www.notino.it/marche-cosmetici/,Coconut Water,https://www.notino.it/coconut-water/
1595276171-185,https://www.notino.it/marche-cosmetici/,Colgate,https://www.notino.it/colgate/
1595276171-186,https://www.notino.it/marche-cosmetici/,Collistar,https://www.notino.it/collistar/
1595276171-187,https://www.notino.it/marche-cosmetici/,Color WOW,https://www.notino.it/color-wow/
1595276171-188,https://www.notino.it/marche-cosmetici/,Colour Bomb by Maverick,https://www.notino.it/colour-bomb/
1595276171-189,https://www.notino.it/marche-cosmetici/,Comodynes,https://www.notino.it/comodynes/
1595276171-190,https://www.notino.it/marche-cosmetici/,Comptoir Sud Pacifique,https://www.notino.it/comptoir-sud-pacifique/
1595276171-191,https://www.notino.it/marche-cosmetici/,Control,https://www.notino.it/control/
1595276171-192,https://www.notino.it/marche-cosmetici/,Corpolibero,https://www.notino.it/corpolibero/
1595276171-193,https://www.notino.it/marche-cosmetici/,Cosrx,https://www.notino.it/cosrx/
1595276171-194,https://www.notino.it/marche-cosmetici/,Couleur Caramel,https://www.notino.it/couleur-caramel/
1595276171-195,https://www.notino.it/marche-cosmetici/,Country Candle,https://www.notino.it/country-candle/
1595276171-196,https://www.notino.it/marche-cosmetici/,Courreges,https://www.notino.it/courreges/
1595276171-197,https://www.notino.it/marche-cosmetici/,Creed,https://www.notino.it/creed/
1595276171-198,https://www.notino.it/marche-cosmetici/,Crescina,https://www.notino.it/crescina/
1595276171-199,https://www.notino.it/marche-cosmetici/,Cristiano Ronaldo,https://www.notino.it/cristiano-ronaldo/
1595276171-200,https://www.notino.it/marche-cosmetici/,Crystallove,https://www.notino.it/crystallove/
1595276171-201,https://www.notino.it/marche-cosmetici/,C-THRU,https://www.notino.it/c-thru/
1595276171-202,https://www.notino.it/marche-cosmetici/,Cuba,https://www.notino.it/cuba/
1595276171-203,https://www.notino.it/marche-cosmetici/,Culti,https://www.notino.it/culti/
1595276171-204,https://www.notino.it/marche-cosmetici/,Curanatura,https://www.notino.it/curanatura/
1595276171-205,https://www.notino.it/marche-cosmetici/,Curapil,https://www.notino.it/curapil/
1595276171-206,https://www.notino.it/marche-cosmetici/,Curaprox,https://www.notino.it/curaprox/
1595276171-207,https://www.notino.it/marche-cosmetici/,Custo Barcelona,https://www.notino.it/custo-barcelona/
1595276171-208,https://www.notino.it/marche-cosmetici/,CutisHelp,https://www.notino.it/cutishelp/
1595276171-209,https://www.notino.it/marche-cosmetici/,Czech & Speake,https://www.notino.it/czech-speake/
1595276171-211,https://www.notino.it/marche-cosmetici/,Daddy Yankee,https://www.notino.it/daddy-yankee/
1595276171-212,https://www.notino.it/marche-cosmetici/,DANDY,https://www.notino.it/dandy/
1595276171-213,https://www.notino.it/marche-cosmetici/,Darphin,https://www.notino.it/darphin/
1595276171-214,https://www.notino.it/marche-cosmetici/,David Beckham,https://www.notino.it/david-beckham/
1595276171-215,https://www.notino.it/marche-cosmetici/,Davidoff,https://www.notino.it/davidoff/
1595276171-210,https://www.notino.it/marche-cosmetici/,da Vinci,https://www.notino.it/da-vinci/
1595276171-216,https://www.notino.it/marche-cosmetici/,Daylong,https://www.notino.it/daylong/
1595276171-217,https://www.notino.it/marche-cosmetici/,Dear Beard,https://www.notino.it/dear-beard/
1595276171-218,https://www.notino.it/marche-cosmetici/,Dear Rose,https://www.notino.it/dear-rose/
1595276171-219,https://www.notino.it/marche-cosmetici/,Deborah Milano,https://www.notino.it/deborah-milano/
1595276171-220,https://www.notino.it/marche-cosmetici/,Declaré,https://www.notino.it/declare/
1595276171-221,https://www.notino.it/marche-cosmetici/,Decléor,https://www.notino.it/decleor/
1595276171-222,https://www.notino.it/marche-cosmetici/,Delia Cosmetics,https://www.notino.it/delia-cosmetics/
1595276171-223,https://www.notino.it/marche-cosmetici/,Denim,https://www.notino.it/denim/
1595276171-225,https://www.notino.it/marche-cosmetici/,Dermacol,https://www.notino.it/dermacol/
1595276171-226,https://www.notino.it/marche-cosmetici/,Dermagen,https://www.notino.it/dermagen-group/
1595276171-227,https://www.notino.it/marche-cosmetici/,Dermalogica,https://www.notino.it/dermalogica/
1595276171-228,https://www.notino.it/marche-cosmetici/,Dermedic,https://www.notino.it/dermedic/
1595276171-229,https://www.notino.it/marche-cosmetici/,Dermika,https://www.notino.it/dermika/
1595276171-224,https://www.notino.it/marche-cosmetici/,Der Waschkönig,https://www.notino.it/der-waschkonig/
1595276171-230,https://www.notino.it/marche-cosmetici/,Desigual,https://www.notino.it/desigual/
1595276171-231,https://www.notino.it/marche-cosmetici/,Detox Skinfood,https://www.notino.it/detox-skinfood/
1595276171-233,https://www.notino.it/marche-cosmetici/,Diadermine,https://www.notino.it/diadermine/
1595276171-232,https://www.notino.it/marche-cosmetici/,Di Angelo Cosmetics,https://www.notino.it/di-angelo-cosmetics/
1595276171-234,https://www.notino.it/marche-cosmetici/,Diego dalla Palma,https://www.notino.it/diegodallapalma/
1595276171-235,https://www.notino.it/marche-cosmetici/,Diesel,https://www.notino.it/diesel/
1595276171-236,https://www.notino.it/marche-cosmetici/,Diet Esthetic,https://www.notino.it/diet-esthetic/
1595276171-237,https://www.notino.it/marche-cosmetici/,Diptyque,https://www.notino.it/diptyque/
1595276171-238,https://www.notino.it/marche-cosmetici/,Dirham,https://www.notino.it/dirham/
1595276171-239,https://www.notino.it/marche-cosmetici/,Disney,https://www.notino.it/disney/
1595276171-240,https://www.notino.it/marche-cosmetici/,Diva & Nice Cosmetics,https://www.notino.it/diva-nice-cosmetics/
1595276171-241,https://www.notino.it/marche-cosmetici/,DKNY,https://www.notino.it/dkny/
1595276171-242,https://www.notino.it/marche-cosmetici/,Dolce & Gabbana,https://www.notino.it/dolce-gabbana/
1595276171-243,https://www.notino.it/marche-cosmetici/,Dona,https://www.notino.it/dona/
1595276171-244,https://www.notino.it/marche-cosmetici/,Doop,https://www.notino.it/doop/
1595276171-245,https://www.notino.it/marche-cosmetici/,Dove,https://www.notino.it/dove/
1595276171-247,https://www.notino.it/marche-cosmetici/,Dr. Bronner’s,https://www.notino.it/dr-bronners/
1595276171-248,https://www.notino.it/marche-cosmetici/,Dr. Feelgood,https://www.notino.it/dr-feelgood/
1595276171-251,https://www.notino.it/marche-cosmetici/,Driclor,https://www.notino.it/driclor/
1595276171-246,https://www.notino.it/marche-cosmetici/,Dr Irena Eris,https://www.notino.it/dr-irena-eris/
1595276171-249,https://www.notino.it/marche-cosmetici/,Dr. Oracle,https://www.notino.it/droracle/
1595276171-250,https://www.notino.it/marche-cosmetici/,Dr. Santé,https://www.notino.it/dr-sante/
1595276171-252,https://www.notino.it/marche-cosmetici/,Dsquared2,https://www.notino.it/dsquared2/
1595276171-253,https://www.notino.it/marche-cosmetici/,Dtangler,https://www.notino.it/dtangler/
1595276171-254,https://www.notino.it/marche-cosmetici/,Ducray,https://www.notino.it/ducray/
1595276171-255,https://www.notino.it/marche-cosmetici/,Dunhill,https://www.notino.it/dunhill/
1595276171-256,https://www.notino.it/marche-cosmetici/,DW Home,https://www.notino.it/dw-home/
1595276171-257,https://www.notino.it/marche-cosmetici/,DX2,https://www.notino.it/dx2/
1595276171-258,https://www.notino.it/marche-cosmetici/,Ecodenta,https://www.notino.it/ecodenta/
1595276171-259,https://www.notino.it/marche-cosmetici/,Ecooking,https://www.notino.it/ecooking/
1595276171-260,https://www.notino.it/marche-cosmetici/,EcoTools,https://www.notino.it/ecotools/
1595276171-261,https://www.notino.it/marche-cosmetici/,Edwin Jagger,https://www.notino.it/edwin-jagger/
1595276171-262,https://www.notino.it/marche-cosmetici/,Eight & Bob,https://www.notino.it/eight-bob/
1595276171-263,https://www.notino.it/marche-cosmetici/,Eisenberg,https://www.notino.it/eisenberg/
1595276171-264,https://www.notino.it/marche-cosmetici/,Elancyl,https://www.notino.it/elancyl/
1595276171-265,https://www.notino.it/marche-cosmetici/,Elemis,https://www.notino.it/elemis/
1595276171-266,https://www.notino.it/marche-cosmetici/,Elie Saab,https://www.notino.it/elie-saab/
1595276171-267,https://www.notino.it/marche-cosmetici/,Elizabeth Arden,https://www.notino.it/elizabeth-arden/
1595276171-268,https://www.notino.it/marche-cosmetici/,Elizabeth Taylor,https://www.notino.it/elizabeth-taylor/
1595276171-269,https://www.notino.it/marche-cosmetici/,Ellen Tracy,https://www.notino.it/ellen-tracy/
1595276171-270,https://www.notino.it/marche-cosmetici/,Elmex,https://www.notino.it/elmex/
1595276171-271,https://www.notino.it/marche-cosmetici/,Elode,https://www.notino.it/elode/
1595276171-272,https://www.notino.it/marche-cosmetici/,Emanuel Ungaro,https://www.notino.it/emanuel-ungaro/
1595276171-273,https://www.notino.it/marche-cosmetici/,Embryolisse,https://www.notino.it/embryolisse/
1595276171-274,https://www.notino.it/marche-cosmetici/,Emma Hardie,https://www.notino.it/emma-hardie/
1595276171-275,https://www.notino.it/marche-cosmetici/,Energie Fruit,https://www.notino.it/energie-fruit/
1595276171-276,https://www.notino.it/marche-cosmetici/,Enrique Iglesias,https://www.notino.it/enrique-iglesias/
1595276171-277,https://www.notino.it/marche-cosmetici/,EOS,https://www.notino.it/eos/
1595276171-278,https://www.notino.it/marche-cosmetici/,EP Line,https://www.notino.it/ep-line/
1595276171-279,https://www.notino.it/marche-cosmetici/,Erbe Solingen,https://www.notino.it/erbe-solingen/
1595276171-280,https://www.notino.it/marche-cosmetici/,Erborian,https://www.notino.it/erborian/
1595276171-281,https://www.notino.it/marche-cosmetici/,Ere Perez,https://www.notino.it/ere-perez/
1595276171-282,https://www.notino.it/marche-cosmetici/,Ermenegildo Zegna,https://www.notino.it/ermenegildo-zegna/
1595276171-283,https://www.notino.it/marche-cosmetici/,Escada,https://www.notino.it/escada/
1595276171-284,https://www.notino.it/marche-cosmetici/,Escentric Molecules,https://www.notino.it/escentric-molecules/
1595276171-285,https://www.notino.it/marche-cosmetici/,eShave,https://www.notino.it/eshave/
1595276171-286,https://www.notino.it/marche-cosmetici/,Essence,https://www.notino.it/essence/
1595276171-287,https://www.notino.it/marche-cosmetici/,Essie,https://www.notino.it/essie/
1595276171-288,https://www.notino.it/marche-cosmetici/,Estée Lauder,https://www.notino.it/estee-lauder/
1595276171-289,https://www.notino.it/marche-cosmetici/,Estelle & Thild,https://www.notino.it/estelle-thild/
