web-scraper-order,web-scraper-start-url,brands,brands-href
1595276171-502,https://market.erniani.com/it/marche-cosmetici/,Luciano Soprani,https://market.erniani.com/it/luciano-soprani/
1595276171-503,https://market.erniani.com/it/marche-cosmetici/,Lumene,https://market.erniani.com/it/lumene/
1595276171-504,https://market.erniani.com/it/marche-cosmetici/,Luminum Candle,https://market.erniani.com/it/luminum-candle/
1595276171-506,https://market.erniani.com/it/marche-cosmetici/,MAC,https://market.erniani.com/it/mac/
1595276171-507,https://market.erniani.com/it/marche-cosmetici/,Macadamia Natural Oil,https://market.erniani.com/it/macadamia-natural-oil/
1595276171-508,https://market.erniani.com/it/marche-cosmetici/,Macadamia Oil Extract,https://market.erniani.com/it/macadamia-oil-extract/
1595276171-509,https://market.erniani.com/it/marche-cosmetici/,Mad Beauty,https://market.erniani.com/it/mad-beauty/
1595276171-510,https://market.erniani.com/it/marche-cosmetici/,Maestro,https://market.erniani.com/it/maestro/
1595276171-511,https://market.erniani.com/it/marche-cosmetici/,MAGICSTRIPES,https://market.erniani.com/it/magicstripes/
1595276171-512,https://market.erniani.com/it/marche-cosmetici/,Magnum,https://market.erniani.com/it/magnum/
1595276171-513,https://market.erniani.com/it/marche-cosmetici/,Magoon,https://market.erniani.com/it/magoon/
1595276171-514,https://market.erniani.com/it/marche-cosmetici/,Make Me BIO,https://market.erniani.com/it/make-me-bio/
1595276171-515,https://market.erniani.com/it/marche-cosmetici/,Makers of Wax Goods,https://market.erniani.com/it/makers-of-wax-goods/
1595276171-516,https://market.erniani.com/it/marche-cosmetici/,Makeup Obsession,https://market.erniani.com/it/makeup-obsession/
1595276171-517,https://market.erniani.com/it/marche-cosmetici/,Makeup Revolution,https://market.erniani.com/it/makeup-revolution/
1595276171-518,https://market.erniani.com/it/marche-cosmetici/,Mandarina Duck,https://market.erniani.com/it/mandarina-duck/
1595276171-519,https://market.erniani.com/it/marche-cosmetici/,Marc Jacobs,https://market.erniani.com/it/marc-jacobs/
1595276171-520,https://market.erniani.com/it/marche-cosmetici/,Maria Sharapova,https://market.erniani.com/it/maria-sharapova/
1595276171-521,https://market.erniani.com/it/marche-cosmetici/,Marina de Bourbon,https://market.erniani.com/it/marina-de-bourbon/
1595276171-522,https://market.erniani.com/it/marche-cosmetici/,Marvis,https://market.erniani.com/it/marvis/
1595276171-523,https://market.erniani.com/it/marche-cosmetici/,Mary Kay,https://market.erniani.com/it/mary-kay/
1595276171-524,https://market.erniani.com/it/marche-cosmetici/,Masaki Matsushima,https://market.erniani.com/it/masaki-matsushima/
1595276171-525,https://market.erniani.com/it/marche-cosmetici/,Matea Nesek,https://market.erniani.com/it/matea-nesek/
1595276171-526,https://market.erniani.com/it/marche-cosmetici/,Matrix,https://market.erniani.com/it/matrix/
1595276171-527,https://market.erniani.com/it/marche-cosmetici/,Mauboussin,https://market.erniani.com/it/mauboussin/
1595276171-528,https://market.erniani.com/it/marche-cosmetici/,Max Factor,https://market.erniani.com/it/max-factor/
1595276171-529,https://market.erniani.com/it/marche-cosmetici/,Maybelline,https://market.erniani.com/it/maybelline/
1595276171-530,https://market.erniani.com/it/marche-cosmetici/,MEDIBLANC,https://market.erniani.com/it/mediblanc/
1595276171-531,https://market.erniani.com/it/marche-cosmetici/,Memo,https://market.erniani.com/it/memo/
1595276171-532,https://market.erniani.com/it/marche-cosmetici/,Mercedes-Benz,https://market.erniani.com/it/mercedes-benz/
1595276171-533,https://market.erniani.com/it/marche-cosmetici/,Meridol,https://market.erniani.com/it/meridol/
1595276171-534,https://market.erniani.com/it/marche-cosmetici/,Mexx,https://market.erniani.com/it/mexx/
1595276171-535,https://market.erniani.com/it/marche-cosmetici/,Michael Jordan,https://market.erniani.com/it/michael-jordan/
1595276171-536,https://market.erniani.com/it/marche-cosmetici/,Michael Kors,https://market.erniani.com/it/michael-kors/
1595276171-538,https://market.erniani.com/it/marche-cosmetici/,Milkhouse Candle Co.,https://market.erniani.com/it/milkhouse-candle-co/
1595276171-537,https://market.erniani.com/it/marche-cosmetici/,Milk Shake,https://market.erniani.com/it/milk-shake/
1595276171-539,https://market.erniani.com/it/marche-cosmetici/,Millefiori,https://market.erniani.com/it/millefiori/
1595276171-540,https://market.erniani.com/it/marche-cosmetici/,Miller Harris,https://market.erniani.com/it/miller-harris/
1595276171-541,https://market.erniani.com/it/marche-cosmetici/,Mimitika,https://market.erniani.com/it/mimitika/
1595276171-542,https://market.erniani.com/it/marche-cosmetici/,Missha,https://market.erniani.com/it/missha/
1595276171-543,https://market.erniani.com/it/marche-cosmetici/,Missoni,https://market.erniani.com/it/missoni/
1595276171-544,https://market.erniani.com/it/marche-cosmetici/,Miu Miu,https://market.erniani.com/it/miu-miu/
1595276171-545,https://market.erniani.com/it/marche-cosmetici/,MIXA,https://market.erniani.com/it/mixa/
1595276171-546,https://market.erniani.com/it/marche-cosmetici/,Mizon,https://market.erniani.com/it/mizon/
1595276171-505,https://market.erniani.com/it/marche-cosmetici/,M. Micallef,https://market.erniani.com/it/m-micallef/
1595276171-547,https://market.erniani.com/it/marche-cosmetici/,Molinard,https://market.erniani.com/it/molinard/
1595276171-548,https://market.erniani.com/it/marche-cosmetici/,Mondial,https://market.erniani.com/it/mondial/
1595276171-549,https://market.erniani.com/it/marche-cosmetici/,Montana,https://market.erniani.com/it/montana/
1595276171-550,https://market.erniani.com/it/marche-cosmetici/,Montblanc,https://market.erniani.com/it/mont-blanc/
1595276171-551,https://market.erniani.com/it/marche-cosmetici/,Moroccanoil,https://market.erniani.com/it/moroccanoil/
1595276171-552,https://market.erniani.com/it/marche-cosmetici/,Moschino,https://market.erniani.com/it/moschino/
1595276171-553,https://market.erniani.com/it/marche-cosmetici/,Moser Pro,https://market.erniani.com/it/moser-pro/
1595276171-555,https://market.erniani.com/it/marche-cosmetici/,Mr Bear Family,https://market.erniani.com/it/mr-bear-family/
1595276171-554,https://market.erniani.com/it/marche-cosmetici/,Mr & Mrs Fragrance,https://market.erniani.com/it/mr-mrs-fragrance/
